trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.5, 'e': 0.6637312824868916}",25,1,-135.2321695705334,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 2}",1
171,False,"{'a': 0.5, 'e': 0.6599831458849822}",30,13,-10.525586463938772,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.6562185097387998}",35,8,-7.173878139196783,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.6524374681640519}",30,0,-82.03948213975892,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.648640115686581}",25,0,-10.650053524379782,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.6448265472400012}",20,12,-9.329223046375487,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.6409968581633251}",20,0,-46.27465442851504,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.6371511441985802}",20,4,-0.5606047922736797,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.6332895014884152}",25,4,-70.25633030364642,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.6294120265736969}",20,0,-20.832037665948544,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.625518816391096}",20,0,-38.004609788349505,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.6216099682706644}",20,0,-92.17638212435926,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
182,False,"{'a': 0.5, 'e': 0.6176855799334016}",30,0,-62.46983340423506,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
